('ATL1', -471.34338920214213)
('PSMG1', -471.28159712979686)
('APOL6', -469.8355868223298)
('NFKB1', -466.6827522945241)
('SNTB2', -464.21643587207654)
('SIAH1', -462.57742050511297)
('KPNA3', -461.0992793414043)
('AP5B1', -459.42519680419355)
('PCBD1', -455.4757772879093)
('EEF1A2', -452.8664894249523)
('CARD16', -451.34032690367894)
('BAG6', -450.10633489943575)
('DHX9', -443.3701687527937)
('DYNLL2', -439.4334072024503)
('TMPRSS12', -439.25633972190553)
('C1QA', -438.40405624260893)
('CRHBP', -430.7905591892486)
('MIPOL1', -430.71286765145487)
('LRRFIP1', -430.21700402974966)
('DST', -428.0805351041199)
('APOL4', -420.92118596617365)
('DBT', -415.3525306499214)
('STAT3', -412.6077034967602)
('CTBP2', -412.2799566643662)
('TUBB4A', -409.0232980919536)
('SRC', -405.5167460224475)
('BLZF1', -404.67997689321055)
('HDAC3', -402.4995874830347)
('MSH2', -402.2018925000157)
('KIT', -401.3760988872382)
('CBWD1', -398.06129820100614)
('SLC25A24', -397.93816527945455)
('GABPB1', -397.1194748710259)
('TMEM86B', -396.79602046945365)
('PNMA1', -396.4113459691871)
('BHLHE40', -394.7401630085369)
('KPNA1', -394.2634371209133)
('G3BP1', -394.2291386705765)
('ALB', -392.58141262974823)
('CALCOCO1', -390.2457437906414)
('FKBP4', -390.1916579375393)
('IPO5', -389.1107822730555)
('GSTP1', -389.0658367329743)
('NUP54', -386.932650119561)
('CCDC33', -383.29367876178003)
('TGFBR1', -382.0490376675443)
('IL18BP', -381.1380832369323)
('TACC1', -368.8860736064089)
('C19ORF66', -368.8192566027574)
('KPNA6', -368.31703384872526)
('HLA-DRA', -366.9022632573906)
('IRAK1', -366.44419689287315)
('NDUFS3', -366.2749046442332)
('LGALS3BP', -365.1774376388348)
('PSME1', -364.64625860765227)
('RPL9', -362.37158001886564)
('EXOSC8', -360.3910449881514)
('SSX2IP', -356.4510739349935)
('CMPK2', -352.9680661561724)
('DHX58', -352.4482951904647)
('ACACA', -352.2051884679822)
