Gene	JD-MD_EP-WT3_NEY922A14-9_S38	JD-MD_EP-WT2_NEY922A14-8_S37	JD-MD_EP-WT1_NEY922A14-7_S36	JD-MD_EP-KO4_NEY922A14-14_S6	JD-MD_EP-KO3_NEY922A14-13_S5	JD-MD_EP-KO2_NEY922A14-12_S4	JD-MD_EP-KO1_NEY922A14-11_S3
Plxdc1	301	166	319	337	632	733	511
Plxdc2	689	567	674	802	1295	1609	1138
Plxna1	3231	1312	3418	3055	5354	7797	6877
Plxna2	31	20	26	66	142	203	137
Plxna3	8	14	9	9	11	21	11
Plxna4	7	6	1	15	20	42	33
Plxna4os1	4	24	11	8	10	9	7
Plxnb1	10	1	9	11	13	46	16
Plxnb2	1915	839	1374	1525	2854	3252	2591
Plxnb3	126	135	158	88	181	179	147
Plxnc1	2708	1362	2387	1830	3809	4844	3796
Plxnd1	2908	1945	3205	1537	2906	3828	3185
Pm20d1	6	3	2	6	18	22	10
Pm20d2	1	3	1	1	7	1	0
Pmaip1	1514	1810	1579	1573	2983	2968	2663
Pmch	0	1	0	0	0	0	0
Pmel	2	3	13	4	5	13	11
Pmepa1	1470	2167	1740	1642	2238	2654	1539
Pmf1	359	685	426	320	646	549	466
Pmfbp1	1	4	1	6	2	2	2
Pmis2	0	0	0	0	0	0	0
Pml	178	82	186	173	339	388	383
Pmm1	91	106	47	100	227	198	120
Pmm2	823	901	888	781	1406	1498	1218
Pmp2	2	0	1	0	4	1	3
Pmp22	105	52	73	235	437	541	355
Pmpca	1260	1089	1376	1185	2349	2645	1977
Pmpcb	784	1084	898	906	1826	1765	1410
Pms1	62	40	55	42	70	130	86
Pms2	61	60	92	75	152	174	107
Pmvk	780	1141	826	657	1331	1158	760
Pnck	0	0	0	0	0	0	0
Pnisr	1307	1265	1319	1106	2046	2362	2037
Pnkd	126	258	169	144	346	270	200
Pnkp	728	924	706	807	1420	1247	967
Pnldc1	4	3	1	6	3	9	5
Pnlip	0	0	0	0	0	0	0
Pnliprp1	0	0	0	1	0	0	0
Pnliprp2	0	0	0	0	0	0	0
Pnma1	0	9	2	1	0	1	2
Pnma2	0	0	0	0	0	1	0
Pnma3	0	0	0	0	0	0	0
Pnma5	0	1	1	0	1	0	0
Pnmal1	0	0	0	0	0	0	0
Pnmal2	0	0	0	0	0	0	0
Pnmt	0	0	0	0	0	0	0
Pnn	1224	996	1288	1212	1896	2316	1751
Pno1	816	780	866	898	1645	1819	1389
Pnoc	0	2	0	3	1	0	0
Pnp	1662	2235	1690	1718	3067	3245	2585
Pnp2	6	14	3	7	23	20	25
Pnpla1	0	0	0	0	0	0	0
Pnpla2	2448	1878	2392	2065	3873	4540	3292
Pnpla3	30	34	30	8	40	48	26
Pnpla5	344	416	289	312	434	433	277
Pnpla6	435	265	388	341	664	777	546
Pnpla7	4582	3648	4780	3900	7474	8718	6567
Pnpla8	4164	3102	3922	3792	6459	8188	6544
Pnpo	832	1114	935	958	1606	1619	1172
Pnpt1	491	390	482	432	944	1121	1036
Pnrc1	2787	2143	2645	2775	5223	5496	4406
Pnrc2	1308	1020	1115	974	1907	2412	1813
Poc1a	124	224	169	124	285	234	162
Poc1b	359	226	299	279	594	687	545
Poc5	161	160	138	119	349	350	272
