TF	Gene
NFATC2	C10ORF140
NKX6-2	C10ORF140
NFATC4	C10ORF140
SP3	C10ORF140
NFATC1	C10ORF140
EGR3	C10ORF140
PAX2	C10ORF140
LHX3	C10ORF140
TEAD2	C10ORF140
EGR4	C10ORF140
NFATC3	C10ORF140
SOX5	C10ORF140
SOX9	C10ORF140
OTX1	C10ORF140
NR2F1	C10ORF140
SRY	C10ORF140
UBE4A	C10ORF140
TCF7L2	C10ORF140
PDX1	C10ORF140
TBP	C10ORF140
E2F3	C10ORF140
HMGA2	C10ORF140
TFDP1	C10ORF140
CUX1	C10ORF140
E2F4	C10ORF140
POU2F1	C10ORF140
SRF	SVIL
HNF1A	SVIL
ZNF238	SVIL
HNF1B	SVIL
HLF	LONRF3
HAND1	SH3BP1
MXD1	SH3BP1
TP53	SH3BP1
ELSPBP1	SH3BP1
TFF3	SH3BP1
ASCL1	SH3BP1
NR2F2	SH3BP1
DEC1	SH3BP1
USF2	SH3BP1
USF1	SH3BP1
HNF4A	SH3BP1
BHLHE41	SH3BP1
TCF4	SH3BP1
HNF4G	SH3BP1
NFE2	SH3BP1
MYC	SH3BP1
HAND2	SH3BP1
MXI1	SH3BP1
MYOD1	SH3BP1
TAL2	SH3BP1
TFEB	SH3BP1
AHR	SH3BP1
MAX	SH3BP1
ARNT	SH3BP1
MYOG	SH3BP1
ARID5B	SH3BP1
TP63	SH3BP1
AR	SH3BP1
MYF5	SH3BP1
NR2F1	SH3BP1
TCF3	SH3BP1
CNTN2	SH3BP1
RORA	SH3BP1
TFAP4	SH3BP1
CREB1	SH3BP1
TCF12	SH3BP1
TFE3	SH3BP1
MYF6	SH3BP1
MYCN	SH3BP1
NHLH1	SH3BP1
HIF1A	IRF2
FOXC1	IRF2
NFATC2	IRF2
NFATC4	IRF2
NFATC1	IRF2
NFATC3	IRF2
RELA	IRF2
PBX1	IRF2
PAX6	IRF2
SETD2	IRF2
FOXJ2	IRF2
ATF2	APPBP2
ATF6	BRPF1
NKX3-1	GPRIN3
FOXL1	GPRIN3
NKX2-1	GPRIN3
LEF1	GPRIN3
OTX2	GPRIN3
NKX6-2	GPRIN3
HNF1A	GPRIN3
OTX1	GPRIN3
CDX1	GPRIN3
CDX2	GPRIN3
TBP	GPRIN3
POU1F1	GPRIN3
IRF1	GPRIN3
PAX6	NR2E3
SRF	DAAM2
AIRE	DAAM2
USF2	FOXRED2
USF1	FOXRED2
TAL1	FOXRED2
MAX	FOXRED2
ARNT	FOXRED2
NR3C1	FOXRED2
TCF3	FOXRED2
NR1H3	COG4
MEF2A	COG4
RXRA	COG4
NR1H2	COG4
ESRRA	MYO18A
DSP	TTLL4
IRF1	TTLL4
RREB1	BLVRB
TBX5	BLVRB
CLOCK	BLVRB
PAX3	BLVRB
FOSL2	BLVRB
ARNTL2	BLVRB
NFE2	BLVRB
CREM	BLVRB
FOSL1	BLVRB
ATF4	BLVRB
JUNB	BLVRB
NFE2L1	BLVRB
JUN	BLVRB
ATF7	BLVRB
ATF3	BLVRB
ARNTL	BLVRB
FOSB	BLVRB
FOS	BLVRB
ATF1	BLVRB
JUND	BLVRB
CREB1	BLVRB
ATF2	BLVRB
PLAU	BLVRB
NR2F2	BRE
HNF4A	BRE
NFE2L1	BRE
NR2F1	BRE
CREB1	BRE
POU2F1	PRKRIP1
E2F1	KIAA0182
ELSPBP1	KIAA0182
WT1	KIAA0182
TFF3	KIAA0182
STAT1	KIAA0182
NR1I2	KIAA0182
BRCA1	KIAA0182
EGR2	KIAA0182
EP300	KIAA0182
EGR1	KIAA0182
ASCL1	KIAA0182
SP1	KIAA0182
TBX5	KIAA0182
USF2	KIAA0182
TCF4	KIAA0182
ZNF219	KIAA0182
RUNX3	KIAA0182
RUNX1	KIAA0182
NF1	KIAA0182
SP3	KIAA0182
RUNX2	KIAA0182
EGR3	KIAA0182
MYB	KIAA0182
NFIC	KIAA0182
MYOD1	KIAA0182
RXRA	KIAA0182
CTF1	KIAA0182
RFX1	KIAA0182
MAZ	KIAA0182
MYOG	KIAA0182
ZIC2	KIAA0182
ARID5B	KIAA0182
RFXANK	KIAA0182
MYF5	KIAA0182
MZF1	KIAA0182
HES1	KIAA0182
RFXAP	KIAA0182
TCF3	KIAA0182
TFAP2A	KIAA0182
RFX2	KIAA0182
CASR	KIAA0182
PAX8	KIAA0182
RFX3	KIAA0182
TCF12	KIAA0182
ZEB1	KIAA0182
GTF2I	KIAA0182
MYF6	KIAA0182
VDR	KIAA0182
RXRB	KIAA0182
RFX5	KIAA0182
RFX4	KIAA0182
ELF2	UBAC2
NR1I2	RBM15
USF1	RBM15
SRF	RBM15
RUNX3	RBM15
RUNX1	RBM15
RUNX2	RBM15
RXRA	RBM15
TFAP2A	RBM15
CASR	RBM15
VDR	RBM15
TFAP2B	RBM15
RXRB	RBM15
CUX1	RBM15
FOXC1	RNF169
CEBPA	RNF169
ATF2	RNF169
PGR	KIAA1609
CEBPB	AVL9
POU1F1	AVL9
ZNF589	DOCK5
AHR	ATOH1
ARNT	ATOH1
RUNX3	ACCN3
RUNX1	ACCN3
RUNX2	ACCN3
RFX1	UBXN6
BACH2	VARS2
AIRE	VARS2
RXRA	VARS2
NR1H4	VARS2
IL6	ACHE
SMAD3	ACHE
TP53	ACHE
SP1	ACHE
SP4	ACHE
SP3	ACHE
EGR3	ACHE
MAZ	ACHE
TCF3	ACHE
HIC1	ACHE
NHLH1	DENND5B
GATA1	KIAA0922
STAT1	KIAA0922
SP1	KIAA0922
SP4	KIAA0922
IRF4	KIAA0922
SP3	KIAA0922
IRF5	KIAA0922
IRF7	KIAA0922
IRF3	KIAA0922
IRF2	KIAA0922
IRF8	KIAA0922
IRF9	KIAA0922
IRF1	KIAA0922
STAT1	SGOL2
IRF4	SGOL2
IRF5	SGOL2
IRF7	SGOL2
IRF3	SGOL2
IRF2	SGOL2
IRF8	SGOL2
PRDM1	SGOL2
IRF9	SGOL2
IRF1	SGOL2
CUX1	SGOL2
LMO2	SSH1
SREBF2	SSH1
SREBF1	SSH1
RORA	SSH1
CUX1	SSH1
FOXO3B	HOXA2
PBX1	HOXA2
FOXO3	HOXA2
PATZ1	ZNF238
MEIS1	ZNF238
STAT5A	ZNF238
STAT5B	ZNF238
STAT1	ZNF238
EGR2	ZNF238
EGR1	ZNF238
ZNF219	ZNF238
IRF4	ZNF238
IRF5	ZNF238
IRF7	ZNF238
HOXA9	ZNF238
IRF3	ZNF238
IRF2	ZNF238
EGR3	ZNF238
EGR4	ZNF238
ZNF238	ZNF238
IRF8	ZNF238
PRDM1	ZNF238
ZBTB16	ZNF238
MZF1	ZNF238
TCF3	ZNF238
SRY	ZNF238
TFAP2A	ZNF238
IRF9	ZNF238
PDX1	ZNF238
TBP	ZNF238
IRF1	ZNF238
TFAP2B	ZNF238
FOXO1	ZNF238
NHLH1	ZNF238
ELK1	C2ORF64
NR2F2	ABCA5
NR2F1	ABCA5
STAT5A	SRA1
RORA	SRA1
POU2F2	SRA1
POU2F1	SRA1
CEBPA	TAF8
DDIT3	TAF8
LEF1	TAF8
HNF1A	TAF8
AR	TAF8
POU3F2	NR3C1
YY1	NR3C1
FOXO4	NR3C1
OTX2	NR3C1
AIRE	NR3C1
AHR	NR3C1
ARNT	NR3C1
OTX1	NR3C1
STAT4	HOXC8
POU3F1	HOXC8
STAT5A	HOXC8
NR1I2	HOXC8
RREB1	HOXC8
HOXA4	HOXC8
NR2F2	HOXC8
NR1H3	HOXC8
NFATC2	HOXC8
RARA	HOXC8
NFATC4	HOXC8
RARB	HOXC8
NFATC1	HOXC8
RXRG	HOXC8
RXRA	HOXC8
NFATC3	HOXC8
NR3C1	HOXC8
MZF1	HOXC8
NR2F1	HOXC8
CASR	HOXC8
NR1H2	HOXC8
RARG	HOXC8
RXRB	HOXC8
PAX3	RAB7A
ATF4	RAB7A
CREB1	RAB7A
ELSPBP1	PLXNA1
REL	PLXNA1
TBX5	PLXNA1
SMAD4	PLXNA1
NFKB1	PLXNA1
TFAP2C	PLXNA1
TFAP2A	PLXNA1
TFAP2B	PLXNA1
POU2F1	TYMS
NFYB	TAS2R38
NFYA	TAS2R38
STAT3	PNPLA4
E2F1	C19ORF23
SMAD3	C19ORF23
HIF1A	C19ORF23
SMAD2	C19ORF23
HAND1	C19ORF23
NRF1	C19ORF23
MEIS1	C19ORF23
VSX2	C19ORF23
MXD1	C19ORF23
THRB	C19ORF23
TP53	C19ORF23
DSP	C19ORF23
ELSPBP1	C19ORF23
YY1	C19ORF23
WT1	C19ORF23
STAT3	C19ORF23
TFF3	C19ORF23
GTF2A2	C19ORF23
GTF2A1	C19ORF23
THRA	C19ORF23
NR1I2	C19ORF23
BRCA1	C19ORF23
EGR2	C19ORF23
EP300	C19ORF23
EGR1	C19ORF23
ASCL1	C19ORF23
SP1	C19ORF23
TBX5	C19ORF23
NR2F2	C19ORF23
DEC1	C19ORF23
USF2	C19ORF23
SP2	C19ORF23
USF1	C19ORF23
CLOCK	C19ORF23
TLX2	C19ORF23
HNF4A	C19ORF23
SMAD4	C19ORF23
BHLHE41	C19ORF23
TCF4	C19ORF23
NR1H3	C19ORF23
HNF4G	C19ORF23
SP4	C19ORF23
RARA	C19ORF23
UBP1	C19ORF23
ARNTL2	C19ORF23
ZNF354C	C19ORF23
KLF12	C19ORF23
SMAD1	C19ORF23
SP3	C19ORF23
RARB	C19ORF23
MYC	C19ORF23
EGR3	C19ORF23
PAX2	C19ORF23
CREM	C19ORF23
ATF4	C19ORF23
TEAD2	C19ORF23
MYB	C19ORF23
HAND2	C19ORF23
MXI1	C19ORF23
RXRG	C19ORF23
MYOD1	C19ORF23
TAL2	C19ORF23
RXRA	C19ORF23
ATF7	C19ORF23
RFX1	C19ORF23
ATF3	C19ORF23
TFEB	C19ORF23
AHR	C19ORF23
MAX	C19ORF23
ARNT	C19ORF23
MYOG	C19ORF23
ZIC2	C19ORF23
ARID5B	C19ORF23
TP63	C19ORF23
ARNTL	C19ORF23
RFXANK	C19ORF23
HSF1	C19ORF23
GTF2A1L	C19ORF23
TFAP2C	C19ORF23
MYF5	C19ORF23
MITF	C19ORF23
MZF1	C19ORF23
HES1	C19ORF23
GATA2	C19ORF23
RFXAP	C19ORF23
NR2F1	C19ORF23
TCF3	C19ORF23
ZBTB7A	C19ORF23
TFAP2A	C19ORF23
UBE4A	C19ORF23
ATF1	C19ORF23
RFX2	C19ORF23
PDX1	C19ORF23
CASR	C19ORF23
NR1H2	C19ORF23
RORA	C19ORF23
SETD2	C19ORF23
PAX8	C19ORF23
RFX3	C19ORF23
TFAP4	C19ORF23
CREB1	C19ORF23
ATF2	C19ORF23
TCF12	C19ORF23
TEAD1	C19ORF23
ZEB1	C19ORF23
HIC1	C19ORF23
PLAU	C19ORF23
GTF2I	C19ORF23
TFE3	C19ORF23
MYF6	C19ORF23
TBP	C19ORF23
RARG	C19ORF23
VDR	C19ORF23
E2F3	C19ORF23
TFAP2B	C19ORF23
RXRB	C19ORF23
TFDP1	C19ORF23
MYCN	C19ORF23
ARNT2	C19ORF23
RFX5	C19ORF23
RFX4	C19ORF23
E2F4	C19ORF23
NHLH1	C19ORF23
ELSPBP1	GORASP2
POU1F1	GORASP2
NF1	OPN1SW
FOXL1	CADM1
FOXO4	CADM1
SRY	CADM1
POU2F1	CADM1
TBX5	SLC17A7
PBX1	STARD5
RREB1	LAGE3
HOXC6	EPHA4
HNF1A	EPHA4
PBX3	EPHA4
PKNOX1	EPHA4
PBX1	EPHA4
HOXB1	EPHA4
ESR1	EPHA4
PDX1	EPHA4
PBX2	EPHA4
HOXB7	EPHA4
HOXB8	EPHA4
ATF5	C7ORF41
ATF6	C7ORF41
CREM	C7ORF41
ATF4	C7ORF41
JUN	C7ORF41
ATF7	C7ORF41
ATF3	C7ORF41
ATF1	C7ORF41
CREB1	C7ORF41
ATF2	C7ORF41
PLAU	C7ORF41
PAX6	HSF5
HLF	OXNAD1
E4F1	OXNAD1
VSX2	ARHGEF3
PBX1	ARHGEF3
HMGA2	ARHGEF3
NR3C1	SNX10
ZEB1	SNX10
ZNF589	C15ORF56
E2F1	STAG1
YY1	STAG1
CD40	STAG1
NFKB1	STAG1
HOXA7	STAG1
PDX1	STAG1
APC	STAG1
TFDP1	STAG1
E2F4	STAG1
CEBPG	RHOH
STAT4	RHOH
POU3F2	RHOH
POU3F1	RHOH
CEBPE	RHOH
DBP	RHOH
GATA1	RHOH
STAT6	RHOH
STAT5A	RHOH
CEBPA	RHOH
GATA6	RHOH
FOXL1	RHOH
CRX	RHOH
FOXP3	RHOH
POU5F1	RHOH
NKX6-1	RHOH
HOXA4	RHOH
FOXO4	RHOH
LEF1	RHOH
GATA5	RHOH
OTX2	RHOH
NKX6-2	RHOH
CEBPB	RHOH
HNF1A	RHOH
POU4F1	RHOH
CEBPD	RHOH
PAX2	RHOH
SOX10	RHOH
NFE2L1	RHOH
TAL1	RHOH
RAX	RHOH
PBX1	RHOH
OTX1	RHOH
GATA2	RHOH
TCF3	RHOH
SRY	RHOH
TCF7L2	RHOH
POU5F1B	RHOH
PDX1	RHOH
GATA3	RHOH
FOXO3	RHOH
GATA4	RHOH
TBP	RHOH
POU1F1	RHOH
IRF1	RHOH
HMGA2	RHOH
POU2F2	RHOH
FOXO1	RHOH
POU2AF1	RHOH
POU2F1	RHOH
GABPA	METTL7B
HIF1A	MEX3D
MYC	MEX3D
MAX	MEX3D
SOX9	MEX3D
SETD2	MEX3D
MEF2A	ICT1
STAT1	C22ORF26
NR6A1	C22ORF26
RREB1	C22ORF26
FOXO3B	C22ORF26
FOXO3	C22ORF26
POU1F1	C22ORF26
PPARG	C22ORF26
REST	ATHL1
PAX5	ATHL1
MYC	ATHL1
PAX2	ATHL1
MAX	ATHL1
PAX8	ATHL1
STAT1	NPC1
IRF4	NPC1
RUNX3	NPC1
RUNX1	NPC1
IRF5	NPC1
IRF7	NPC1
IRF3	NPC1
RUNX2	NPC1
IRF2	NPC1
IRF8	NPC1
IRF9	NPC1
IRF1	NPC1
NKX2-2	KIF5B
ZNF350	ARL15
NFYB	ARL15
NFYA	ARL15
TBP	ARL15
SRF	KCNJ16
MEF2A	RPL22
ALX1	RRNAD1
PDX1	RRNAD1
CUX1	RRNAD1
IL6	FOXJ1
NKX3-1	FOXJ1
ELF2	FOXJ1
TFAP2A	FAM20B
FOXJ1	FAM20B
PAX5	TPSD1
PAX2	TPSD1
PAX8	TPSD1
E2F1	HIST1H1B
POU3F2	HIST1H1B
POU3F1	HIST1H1B
NKX3-1	HIST1H1B
DSP	HIST1H1B
STAT1	HIST1H1B
BRCA1	HIST1H1B
POU5F1	HIST1H1B
USF2	HIST1H1B
OTX2	HIST1H1B
POU4F1	HIST1H1B
MEF2A	HIST1H1B
NFYB	HIST1H1B
E2F5	HIST1H1B
SOX9	HIST1H1B
OTX1	HIST1H1B
NFYA	HIST1H1B
HSF1	HIST1H1B
E2F2	HIST1H1B
SRY	HIST1H1B
POU5F1B	HIST1H1B
HINFP	HIST1H1B
TBP	HIST1H1B
IRF1	HIST1H1B
E2F3	HIST1H1B
POU2F2	HIST1H1B
POU2AF1	HIST1H1B
E2F4	HIST1H1B
POU2F1	HIST1H1B
HOXA7	HSP90B1
RFX1	HSP90B1
TBP	HSP90B1
AIRE	BCL7B
PGR	RPL37A
RORA	RPL37A
HAND1	NDUFAF3
FOXC1	NDUFAF3
MXD1	NDUFAF3
ELSPBP1	NDUFAF3
TFF3	NDUFAF3
ASCL1	NDUFAF3
DEC1	NDUFAF3
USF2	NDUFAF3
USF1	NDUFAF3
LMO2	NDUFAF3
TLX2	NDUFAF3
BHLHE41	NDUFAF3
TCF4	NDUFAF3
MYC	NDUFAF3
CEBPD	NDUFAF3
CREM	NDUFAF3
ATF4	NDUFAF3
MYB	NDUFAF3
HAND2	NDUFAF3
MXI1	NDUFAF3
MYOD1	NDUFAF3
TAL2	NDUFAF3
ATF7	NDUFAF3
ATF3	NDUFAF3
TFEB	NDUFAF3
MAX	NDUFAF3
MYOG	NDUFAF3
ARID5B	NDUFAF3
MYF5	NDUFAF3
TCF3	NDUFAF3
ATF1	NDUFAF3
IL10	NDUFAF3
CREB1	NDUFAF3
ATF2	NDUFAF3
TCF12	NDUFAF3
PLAU	NDUFAF3
TFE3	NDUFAF3
MYF6	NDUFAF3
MYCN	NDUFAF3
NHLH1	NDUFAF3
HNF1A	UGT1A3
HNF1B	UGT1A3
HNF1A	TMEM105
HNF1B	TMEM105
CDC5L	PPP1CB
FOXO1	PPP1CB
MEF2A	TMEM200A
GATA1	KLF6
STAT6	KLF6
STAT5A	KLF6
CEBPA	KLF6
FOXA1	KLF6
ONECUT2	KLF6
HOXA4	KLF6
FOXA2	KLF6
SRF	KLF6
FOXA3	KLF6
CD40	KLF6
ONECUT1	KLF6
NFKB1	KLF6
NFATC2	KLF6
NFATC4	KLF6
NF1	KLF6
CEBPB	KLF6
NFATC1	KLF6
CEBPD	KLF6
MEF2A	KLF6
SOX10	KLF6
BACH1	KLF6
NFATC3	KLF6
AHR	KLF6
RELA	KLF6
ARNT	KLF6
NR3C1	KLF6
AR	KLF6
MZF1	KLF6
SRY	KLF6
TBP	KLF6
POU1F1	KLF6
FOXI1	KLF6
HMGA2	KLF6
FOXO1	KLF6
FOXM1	KLF6
CUX1	KLF6
POU2F1	KLF6
NFYA	PPAP2A
HIC1	PPAP2A
TBP	PPAP2A
HLF	LARS2
ATF5	PEX11G
ATF6	PEX11G
CREM	PEX11G
ATF4	PEX11G
JUN	PEX11G
ATF7	PEX11G
ATF3	PEX11G
ATF1	PEX11G
CREB1	PEX11G
ATF2	PEX11G
PLAU	PEX11G
NR1H3	NCOR2
RXRA	NCOR2
NR1H2	NCOR2
CUX1	CYP2R1
AIRE	USP11
TOPORS	C1ORF227
CUX1	C11ORF58
STAT1	SERP1
FOXC1	PICALM
YY1	PICALM
FOXL1	PICALM
SREBF1	PICALM
MYC	PICALM
MAX	PICALM
NHLH1	PARL
PAX5	ZNF295
MEF2A	ZNF295
CUX1	ZNF295
NFE2	PDGFRB
TP53	ZMIZ2
ELSPBP1	ZMIZ2
TFF3	ZMIZ2
ASCL1	ZMIZ2
LMO2	ZMIZ2
TCF4	ZMIZ2
MYOD1	ZMIZ2
MYOG	ZMIZ2
ARID5B	ZMIZ2
MYF5	ZMIZ2
TCF3	ZMIZ2
TCF12	ZMIZ2
MYF6	ZMIZ2
POU2F1	ZMIZ2
HLF	ACOX3
HSF1	ACOX3
NR3C1	C19ORF50
NR2F2	RDBP
HNF4A	RDBP
PPARA	RDBP
HNF4G	RDBP
RXRA	RDBP
NR2F1	RDBP
NR1H2	RDBP
PPARG	RDBP
POU3F2	GDNF
HNF1A	TRAPPC9
E2F1	DKFZP761E198
VSX2	DKFZP761E198
CRX	DKFZP761E198
SREBF2	DKFZP761E198
SREBF1	DKFZP761E198
RAX	DKFZP761E198
PAX6	DKFZP761E198
TFAP2A	DKFZP761E198
RORA	DKFZP761E198
TFAP2B	DKFZP761E198
MEF2A	CHKB
PPARG	CHKB
TCF3	RIMS4
IL6	AFF3
CD40	AFF3
NFKB1	AFF3
NFKB2	AFF3
FKBP4	AFF3
RELA	AFF3
CUX1	AFF3
ELK4	U2SURP
ELSPBP1	PPAN-P2RY11
MYOD1	PPAN-P2RY11
TCF3	PPAN-P2RY11
SP1	MAN2B1
TCF4	MAN2B1
NR1H3	MAN2B1
CEBPB	MAN2B1
RXRA	MAN2B1
NR1H4	MAN2B1
TCF3	MAN2B1
CASR	MAN2B1
NR1H2	MAN2B1
RORA	MAN2B1
STAT4	TMSB10
STAT6	TMSB10
STAT3	TMSB10
STAT2	TMSB10
STAT1	TMSB10
VSX2	BRD3
IRF4	BRD3
IRF5	BRD3
IRF7	BRD3
IRF3	BRD3
IRF2	BRD3
IRF6	BRD3
IRF8	BRD3
IRF1	BRD3
CEBPA	RNASEH2A
TBX5	RNASEH2A
DDIT3	RNASEH2A
LMO2	RNASEH2A
SREBF1	RNASEH2A
FOS	RNASEH2A
PAX5	CHST3
TEAD1	CHST3
LEF1	PPTC7
HNF1A	PPTC7
ESRRA	PPTC7
AHR	PPTC7
ARNT	PPTC7
CUX1	PPTC7
POU2F1	PPTC7
EGR2	ARHGEF10
MYC	ARHGEF10
EGR3	ARHGEF10
MAX	ARHGEF10
TFAP4	ARHGEF10
POU2F1	CUL3
STAT3	LMO1
STAT1	LMO1
MEF2A	GRAMD3
SRY	GRAMD3
FOXC1	LTBP4
NFE2L1	LTBP4
MAZ	LTBP4
STAT4	TNFAIP8L2
SPIB	TNFAIP8L2
RXRA	TNFAIP8L2
NR1H2	TNFAIP8L2
SPI1	TNFAIP8L2
POU2F1	TNFAIP8L2
PATZ1	RBP5
HOXC6	RBP5
PBX3	RBP5
PKNOX1	RBP5
PBX1	RBP5
HOXB1	RBP5
FOS	RBP5
PDX1	RBP5
CREB1	RBP5
PLAU	RBP5
PBX2	RBP5
HOXB7	RBP5
HOXB8	RBP5
POU2F1	RNF43
HAND1	RORC
MXD1	RORC
ELSPBP1	RORC
YY1	RORC
TFF3	RORC
KCNH6	RORC
EP300	RORC
NKX2-1	RORC
ASCL1	RORC
ELK3	RORC
ERG	RORC
DEC1	RORC
ELK4	RORC
USF2	RORC
USF1	RORC
HNF4A	RORC
BHLHE41	RORC
TCF4	RORC
CD40	RORC
NR1H3	RORC
SPIB	RORC
FLI1	RORC
NKX2-2	RORC
NFKB1	RORC
NFATC2	RORC
RUNX3	RORC
NFATC4	RORC
ZNF354C	RORC
RUNX1	RORC
MYC	RORC
NFATC1	RORC
RUNX2	RORC
GABPA	RORC
EFNA2	RORC
GABPB1	RORC
GABPB2	RORC
ETV4	RORC
HAND2	RORC
MXI1	RORC
MYOD1	RORC
PGR	RORC
TAL2	RORC
ELK1	RORC
RXRA	RORC
NFATC3	RORC
ETS2	RORC
TFEB	RORC
MAX	RORC
MYOG	RORC
NR3C1	RORC
ARID5B	RORC
ETS1	RORC
NR1H4	RORC
AR	RORC
MYF5	RORC
ELF2	RORC
TCF3	RORC
ATF1	RORC
CUZD1	RORC
CNTN2	RORC
CASR	RORC
NR1H2	RORC
ATM	RORC
NR5A2	RORC
CREB1	RORC
ELF4	RORC
TCF12	RORC
TEAD1	RORC
TFE3	RORC
MYF6	RORC
VDR	RORC
SPI1	RORC
MYCN	RORC
NHLH1	RORC
CEBPG	KIAA0247
RXRA	KIAA0247
TCF3	KIAA0247
PDX1	KIAA0247
VDR	KIAA0247
CUX1	KIAA0247
IRF8	ZNF33B
GLI3	TAF1B
GLI1	TAF1B
GLI2	TAF1B
STAT5A	SF3B1
SOX2	SF3B1
SOX15	SF3B1
SOX18	SF3B1
SOX21	SF3B1
SOX10	SF3B1
SOX11	SF3B1
SOX5	SF3B1
SOX9	SF3B1
SOX8	SF3B1
NR3C1	SF3B1
SOX12	SF3B1
SRY	SF3B1
SOX14	SF3B1
SOX3	SF3B1
RORA	SF3B1
SOX4	SF3B1
EGR2	ACACA
EGR1	ACACA
EGR3	ACACA
EGR4	ACACA
ZNF350	OPHN1
NKX3-1	PRPF4B
MEF2A	PCDH11Y
SREBF1	MRPL54
HNF1A	MRPL54
NR3C1	MRPL54
TCF3	MRPL54
RFX1	WARS2
RFXANK	WARS2
RFXAP	WARS2
RFX5	WARS2
POU2F1	WARS2
FOXP3	DNPEP
IRF1	DNPEP
PLAU	ZNF121
HNF1A	AHCYL2
HNF1B	AHCYL2
E2F1	MKNK2
SMAD3	MKNK2
SMAD2	MKNK2
SMAD6	MKNK2
THRB	MKNK2
TP53	MKNK2
SMAD5	MKNK2
THRA	MKNK2
HNF4A	MKNK2
SMAD4	MKNK2
SMAD7	MKNK2
NR1H3	MKNK2
GCM1	MKNK2
RARA	MKNK2
KLF12	MKNK2
SMAD1	MKNK2
NF1	MKNK2
RARB	MKNK2
PAX5	MKNK2
RXRG	MKNK2
RXRA	MKNK2
NFYA	MKNK2
ZIC2	MKNK2
NR1H4	MKNK2
HES1	MKNK2
TFAP2A	MKNK2
NR1H2	MKNK2
APC	MKNK2
TCF12	MKNK2
RARG	MKNK2
VDR	MKNK2
RXRB	MKNK2
CUX1	ARHGEF10L
SOX9	TIA1
HERPUD1	CACNG4
GTF2A2	PLEKHN1
GTF2A1	PLEKHN1
ZNF219	PLEKHN1
CD40	PLEKHN1
NFKB1	PLEKHN1
RELA	PLEKHN1
PAX6	PLEKHN1
GTF2A1L	PLEKHN1
TFAP2C	PLEKHN1
ZBTB7A	PLEKHN1
TFAP2A	PLEKHN1
PAX8	PLEKHN1
ZEB1	PLEKHN1
HIC1	PLEKHN1
VDR	PLEKHN1
E2F1	RALGAPA2
DSP	RALGAPA2
CEBPB	RALGAPA2
MEF2A	RALGAPA2
UBE4A	RALGAPA2
ZEB1	RALGAPA2
E2F3	RALGAPA2
TFDP1	RALGAPA2
E2F4	RALGAPA2
HNF1A	C8ORF84
STAT5B	RAG2
AHR	LY6H
ARNT	LY6H
CEBPG	ZNF219
STAT4	ZNF219
PATZ1	ZNF219
CEBPE	ZNF219
GATA1	ZNF219
STAT5A	ZNF219
CEBPA	ZNF219
GATA6	ZNF219
PAX1	ZNF219
LEF1	ZNF219
GATA5	ZNF219
LMO2	ZNF219
CEBPB	ZNF219
HNF1A	ZNF219
CEBPD	ZNF219
FOSL1	ZNF219
JUNB	ZNF219
JUN	ZNF219
MZF1	ZNF219
GATA2	ZNF219
TCF7L2	ZNF219
FOS	ZNF219
RORA	ZNF219
JUND	ZNF219
GATA3	ZNF219
GATA4	ZNF219
SPI1	ZNF219
STAT4	GSTK1
STAT6	GSTK1
STAT3	GSTK1
STAT2	GSTK1
STAT1	GSTK1
IRF1	GSTK1
ELSPBP1	CORO1C
MYOD1	CORO1C
TCF3	CORO1C
LHX3	GAR1
BACH2	TMEM43
HNF1A	TMEM43
HNF1B	TMEM43
TOPORS	CBWD2
ZBTB16	NUPL2
GATA1	DCDC2B
REL	DCDC2B
MEF2A	DCDC2B
RFX1	DCDC2B
TCF3	DCDC2B
RORA	DCDC2B
PPARG	KCNH4
PAX6	NFU1
PAX8	NFU1
TOPORS	FAM8A1
NR3C1	C9ORF43
E4F1	ATP10D
HERPUD1	D4S234E
E2F1	FOSL2
LEF1	FOSL2
NFE2L1	PSMA6
CEBPG	CAND1
DSP	C1ORF183
DSP	ATAD3A
RXRA	ATAD3A
PPARG	ATAD3A
NKX6-1	TTC21B
POU3F2	TSTD1
YY1	TSTD1
STAT1	TSTD1
TBX5	TSTD1
IRF4	TSTD1
IRF5	TSTD1
IRF7	TSTD1
IRF3	TSTD1
IRF2	TSTD1
IRF6	TSTD1
IRF8	TSTD1
IRF9	TSTD1
IRF1	TSTD1
NR2F2	SAMD14
HNF4A	SAMD14
RXRA	SAMD14
NR2F1	SAMD14
NR1H2	SAMD14
PPARG	SAMD14
E2F1	CLK2
DSP	CLK2
RB1	CLK2
MYC	CLK2
MAX	CLK2
E2F5	CLK2
SOX9	CLK2
E2F2	CLK2
UBE4A	CLK2
APC	CLK2
E2F3	CLK2
TFDP1	CLK2
E2F4	CLK2
PPARG	NEXN
IRF4	TAB1
IRF5	TAB1
IRF7	TAB1
IRF3	TAB1
IRF2	TAB1
IRF6	TAB1
IRF8	TAB1
IRF1	TAB1
TCF3	NEK11
NR3C1	WDR69
NHLH1	WDR31
GATA1	ZSCAN22
CEBPA	ZSCAN22
YY1	ATF4
USF2	ATF4
USF1	ATF4
RXRA	ATF4
NFYB	ATF4
NFYA	ATF4
NR1H4	ATF4
TBP	ATF4
ELK1	TEX10
ONECUT2	CNIH
ONECUT1	CNIH
PBX1	CNIH
ATF5	PDE7A
MEIS1	PDE7A
ATF6	PDE7A
HOXA9	PDE7A
CREM	PDE7A
ATF4	PDE7A
