TF	Gene
NR1H3	KARS
RXRA	KARS
NR1H2	KARS
IRF1	KARS
CUX1	MOBP
GATA1	LAMTOR1
GATA6	LAMTOR1
GATA5	LAMTOR1
GABPA	LAMTOR1
TFEB	LAMTOR1
PBX1	LAMTOR1
MITF	LAMTOR1
GATA2	LAMTOR1
GATA3	LAMTOR1
TFE3	LAMTOR1
GATA4	LAMTOR1
CUX1	LAMTOR1
POU2F1	LAMTOR1
AIRE	SLA2
MEF2A	CNTN1
NKX2-2	NAPSA
HNF1A	STK31
HNF1B	STK31
MYC	UBE2D3
MAX	UBE2D3
CEBPG	ADD3
POU3F2	ADD3
FOXL1	ADD3
LEF1	ADD3
OTX2	ADD3
NKX2-2	ADD3
NKX6-2	ADD3
HNF1A	ADD3
SOX5	ADD3
OTX1	ADD3
TCF7L2	ADD3
PDX1	ADD3
FOXD3	ADD3
POU2F1	ADD3
ZBTB6	AACS
HIF1A	SAMD11
PBX1	SAMD11
TCF3	SAMD11
SETD2	SAMD11
ZEB1	SAMD11
PAX3	DPH5
E2F1	RAB34
FOXA1	RAB34
DSP	RAB34
GLI3	RAB34
FOXA2	RAB34
FOXA3	RAB34
HNF1A	RAB34
E2F5	RAB34
HNF1B	RAB34
E2F2	RAB34
APC	RAB34
GATA3	RAB34
GLI1	RAB34
GLI2	RAB34
E2F3	RAB34
TFDP1	RAB34
FOXM1	RAB34
E2F4	RAB34
POU3F2	MSH2
POU3F2	C11ORF82
MYC	DERL3
MEF2A	DERL3
MAX	DERL3
NR6A1	FAM21C
GATA1	ID2
FOXC1	ID2
CEBPA	ID2
GATA6	ID2
FOXA1	ID2
ZNF350	ID2
CDC5L	ID2
FOXA2	ID2
GATA5	ID2
LMO2	ID2
FOXO3B	ID2
FOXA3	ID2
OTX2	ID2
NKX6-2	ID2
LHX3	ID2
HOXA7	ID2
SOX5	ID2
OTX1	ID2
GATA2	ID2
TCF3	ID2
PDX1	ID2
FOXF2	ID2
GATA3	ID2
FOXO3	ID2
GATA4	ID2
TBP	ID2
FOXD3	ID2
FOXI1	ID2
FOXO1	ID2
FOXM1	ID2
BPTF	ID2
POU2F1	ID2
FOXO1	USP46
ELK1	ZNF35
ETS2	ZNF35
STAT5A	ADA
STAT5B	ADA
FOSL1	ADA
JUNB	ADA
JUN	ADA
FOS	ADA
JUND	ADA
E2F1	TSHZ3
PAX5	TSHZ3
TEAD2	TSHZ3
PBX1	TSHZ3
CUX1	TSHZ3
